Year,Agricultural land (sq. km),Cereal yield (kg per hectare),Forest area (% of land area),Permanent cropland (% of land area),"Foreign direct investment, net inflows (BoP, current million US$)",GDP (current million US$),GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, female (years)","Literacy rate, youth total (% of people ages 15-24)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","Population, total (million people)",Rural population,"School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, primary, female (% net)","School enrollment, primary, male (% net)","School enrollment, secondary, male (% gross)",Urban population (% of total population),Electricity consumption (GWh)-1_x,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",CO2 emissions (kg per 2010 US$ of GDP),CO2 emissions (kt),CO2 intensity (kg per kg of oil equivalent energy use),Electric power consumption (kWh per capita),Electric power transmission and distribution losses (% of output),Electricity consumption (GWh),Electricity production from hydroelectric sources (% of total),Electricity production from oil sources (% of total),"Electricity production from oil, gas and coal sources (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy intensity level of primary energy (MJ/$2011 PPP GDP),Power outages in firms in a typical month (number),Renewable energy consumption (% of total final energy consumption),Electricity consumption (GWh)-1_y
1995,88150.0,872.0,47.151924375422,0.197371838155093,31.6739454230512,6176.312552138799,710.724510163307,0.000692848,58.97,43.49529457092285,100.0,8.690164,5248338.0,2.254860043525695,55.3205986022949,42.64376,53.7779975,18.934788227081324,39.606,930.9999999999984,3.89369926850349,67.2896728515625,0.391059597564919,3494.651,1.87397330058692,109.318995590877,16.0777385159011,949.999999999998,0.0,80.1236749116608,95.9363957597173,46000000.0,5.0319803953226,0.0,53.1778586573874,930.9999999999984
1996,89070.0,758.5,46.9181945670805,0.20775982963694,13.9555587609991,6413.18983920318,719.543347439523,0.011238219,58.896,44.29946517944335,100.0,8.912861,5370088.0,2.34117007255554,59.1126403808594,44.10598,54.92291,18.4306907653809,39.749,949.999999999998,5.7446325073604,68.3894805908203,0.410297079123556,3740.34,1.95843059146558,110.06566802736,18.4538653366584,981.000000000004,0.0,82.3773898586866,96.0931005818786,47000000.0,5.05184051316062,0.0,52.4673729314296,949.999999999998
1997,86280.0,716.7,46.6844647587389,0.20775982963694,178.810136257774,5915.25025827977,647.82936603787,0.027347441,58.874,45.10363578796386,100.0,9.130877,5488479.0,2.2011399269104,63.2571983337402,48.69991,59.03978,18.1670398712158,39.891,981.000000000004,7.84425287953184,68.9,0.347158952905957,3263.63,1.61157602252117,117.513356055503,16.8861347792409,1073.000000000003,0.0,89.2331525948877,96.281951975213,48000000.0,5.19441881476755,0.0,50.672000836312,981.000000000004
1998,83900.0,667.8,46.4507349503973,0.285669765750792,71.1058120483919,6368.26519369887,681.260072579726,0.079871379,58.931,45.90780639648437,100.0,9.347774,5605486.0,2.31094002723694,66.7360992431641,51.95599,61.16169,17.8093204498291,40.034,1073.000000000003,9.51745628395509,70.5222702026367,0.344397077737045,3428.645,1.60340158355223,122.168122592609,15.6573116691285,1142.000000000003,0.0,90.6203840472674,96.3810930576071,49000000.0,5.1793652675167,0.0,48.0235663932171,1073.000000000003
1999,91120.0,870.4,46.2170051420558,0.285669765750792,161.686935933266,6512.20762219727,680.57235043481,0.311090952,59.091,46.71197700500488,100.0,9.568722,5724297.0,2.76681995391846,65.9185485839844,50.77453,60.32928,18.4610404968262,40.177,1142.000000000003,11.6195222574929,72.8,0.349472733588007,3700.003,1.64125881787764,118.302109727924,19.0271816881259,1132.0000000000005,0.0,94.7782546494993,96.4234620886981,50000000.0,5.13385553552597,0.0,45.8454492538932,1142.000000000003
2000,90270.0,879.4,45.9832753337142,0.285669765750792,81.64369012351871,5924.23970081588,604.654066013211,0.403967486,59.368,47.51614761352538,100.0,9.797734,5847288.0,2.84063005447388,69.263427734375,54.80801,61.96139,19.0174407958984,40.32,1132.0000000000005,12.8102449751064,74.64,0.360454933100431,3938.358,1.64245249498301,102.574738199669,37.3441396508728,1004.9999999999956,0.0,89.8379052369077,90.0249376558604,53000000.0,5.29197211038152,0.0,47.515245548353,1132.0000000000005
2001,87990.0,887.1,45.7833064976887,0.259699787046175,45.083429813955,6174.898370140179,615.268471723706,0.983794059,59.764,48.32031822204589,100.0,10.036104,5975095.0,3.4938600063324,71.2180404663086,57.414723333333335,63.90111666666667,19.2248992919922,40.464,1004.9999999999956,15.1295853452011,73.5634918212891,0.379004308098406,4330.727,1.67097665115324,124.550323511992,33.9323467230444,1249.9999999999968,0.0,91.4904862579281,91.4904862579281,62000000.0,5.46931775432753,0.0,45.8278848446643,1004.9999999999956
2002,87500.0,651.6,45.5833376616631,0.259699787046175,82.6926715664976,6752.510282957441,656.622707739447,1.006454537,60.253,49.1244888305664,100.0,10.283699,6107797.0,3.09505009651184,72.1702728271484,60.021436666666666,65.84084333333334,20.7959499359131,40.607,1249.9999999999968,11.2506980205269,74.16916,0.392161409114802,4510.41,1.71380597908131,147.320531260201,25.880626223092,1514.9999999999975,9.49119373776908,79.0606653620352,79.7455968688845,70000000.0,5.51775726238941,0.0,44.4838943513731,1249.9999999999968
2003,86320.0,1090.7,45.3833688256376,0.259699787046175,86.4997803681952,8683.229268119789,823.721145085384,2.10143643,60.812,49.556282043457024,100.0,10.541467,6230218.0,3.14578008651733,76.0498199462891,62.62815,67.78057,22.1850395202637,40.898,1514.9999999999975,18.7099820886421,75.7188568115234,0.405549099958499,4976.119,1.94610596481293,127.496486020399,37.4301675977654,1343.9999999999973,15.6890130353817,72.5791433891992,74.9534450651769,57000000.0,5.02500326872557,0.0,44.7177001978836,1514.9999999999975
2004,86870.0,974.5,45.183399989612,0.259699787046175,137.583476929811,10167.4418544694,940.551691829693,4.38602398,61.428,49.98807525634765,100.0,10.810083,6344870.0,5.50081014633179,78.120491027832,62.54877,64.78611,23.5741291046143,41.306,1343.9999999999973,8.64158105490677,76.8118667602539,0.402820427990561,5232.809,1.91239745111569,140.331947497535,32.9946996466431,1516.9999999999957,12.9416961130742,75.3091872791519,78.0035335689046,45000000.0,5.07916967138597,0.0,40.7981221958656,1343.9999999999973
2005,87760.0,1201.1,44.9834311535865,0.259699787046175,167.944230519191,11022.8216318674,993.932041095639,4.786684083,62.094,50.419868469238274,100.0,11.090116,6463985.0,7.76855993270874,79.9345016479492,64.00341,65.44493,25.641450881958,41.714,1516.9999999999957,23.2679270140633,80.4,0.423603849349064,5812.195,2.08199421990165,160.232769431808,30.1493710691824,1777.000000000005,10.4952830188679,79.2452830188679,81.8003144654088,55000000.0,4.9061381021133,0.0,41.22865403155,1516.9999999999957
2006,84880.0,879.0,44.7834623175609,0.270087778528022,289.84030029228,11847.848224894698,1040.90399425621,5.611738652,62.806,50.8516616821289,100.0,11.382268,6587601.0,9.15799045562744,80.0220336914063,66.75634,67.00272,27.464469909668,42.124,1777.000000000005,25.3720606333019,83.6,0.336480061261514,4730.43,1.69018840135932,159.546410258483,25.5432554325543,1816.000000000003,9.59409594095941,84.9528495284953,87.0028700287003,55000000.0,4.80046831767487,0.0,44.2047834073397,1777.000000000005
2007,85030.0,722.5,44.5834934815353,0.275281774268945,351.458732442619,14285.9700851384,1222.3729182258,6.89,63.554,55.0185712178548,100.0,11.68708,6715981.0,9.31768989562988,83.5587463378906,69.80754,68.89075,30.652675628662152,42.535,1816.000000000003,24.875106607315,80.2059173583984,0.351218186117707,5181.471,1.7255809693813,184.049394716217,19.0135542168675,2151.000000000005,6.81475903614458,88.328313253012,90.0602409638554,40000000.0,4.90796032815805,11.5,40.6306051524891,1816.000000000003
2008,92750.0,1174.2,44.3835246455098,0.285669765750792,455.73986797629306,16949.7894645284,1411.92933206154,7.12,64.322,59.1854807535807,100.0,12.004701,6849042.0,10.4977197647095,84.0872573852539,71.3625,69.04859,33.8408813476563,42.947,2151.000000000005,26.3876426781211,81.3669967651367,0.331793889941922,5093.463,1.6249801801066,160.936952948682,30.5535585909418,1931.999999999996,8.23148813803019,86.8799424874191,88.6053199137311,43000000.0,4.94131840019323,13.416666666666666,40.4667628042233,2151.000000000005
2009,94880.0,1134.6,44.1835558094842,0.301251752973563,331.473910250358,16248.2128522153,1317.23568742745,7.5,65.088,63.3523902893066,100.0,12.335084,6986715.0,11.2641401290894,83.8946304321289,72.1801,68.97246,36.2578563690186,43.359,1931.999999999996,30.6113845204792,83.4,0.301361693302365,4723.096,1.25638781613219,192.378098114289,16.9699090272918,2372.999999999997,8.36249125262421,86.4240727781665,88.1385584324703,53000000.0,5.78605516926597,15.652777777777777,51.9585671406511,1931.999999999996
